ID,Category,Name,Sub Category
316,Occupational_Healthcare,G23a-Mehlstaub,
317,Occupational_Healthcare,G23b-Platinverbindungen (Chlorplatinate),
318,Occupational_Healthcare,G23c-Staub von Zuckmücken und deren Larven,
319,Occupational_Healthcare,G23d-Naturgummilatex und sein Staub,
320,Occupational_Healthcare,G23e-Enzymhaltige Stäube,
321,Occupational_Healthcare,G23f-Dicarbonsäreanhydride (DCA),
322,Occupational_Healthcare,"G23g-Labortierstaub, Haut- und Haarbestandteile",
323,Occupational_Healthcare,G23h-Getreide- und Futtermittelstäube,
324,Occupational_Healthcare,G23i-Atemwegsreizende (chemische) Arbeitsstoffe,
325,Occupational_Healthcare,G23-Obstruktive Atemwegserkrankungen,
326,Occupational_Healthcare,G24-Gefährdung der Haut,
327,Occupational_Healthcare,"G25-Gefährdung durch Fahr-, Steuer- und Überwachungstätigkeiten",
328,Occupational_Healthcare,"G25I-Gefährdung durch Fahr-, Steuer- und Überwachungstätigkeiten",
329,Occupational_Healthcare,"G25II-Gefährdung durch Fahr-, Steuer- und Überwachungstätigkeiten",
330,Occupational_Healthcare,"G25K-Gefährdung durch Fahr-, Steuer- und Überwachungstätigkeiten mit Kranschein",
331,Occupational_Healthcare,G26III-Träger von Atemschutzgeräten über 5kg für Arbeit und Rettung,
332,Occupational_Healthcare,G26II-Träger von Atemschutzgeräten unter 5kg für Arbeit und Rettung,
333,Occupational_Healthcare,G26I-Träger von Atemschutzgeräten unter 3kg für Arbeit und Rettung,
334,Occupational_Healthcare,G27-Gefährdung durch Isocyanate,
335,Occupational_Healthcare,G28-Methylchlorid (Monochlormethan),
336,Occupational_Healthcare,G29-Gefährdung durch Benzolhomologe (Toluol/Xylol),
337,Occupational_Healthcare,G2-Blei und seine Verbindungen (mit Ausnahme der Bleialkyle),
338,Occupational_Healthcare,G30-Hitzearbeiten,
339,Occupational_Healthcare,G31-Überdruck (Kabinendichtigkeitstest),
340,Occupational_Healthcare,G32-Gefährdung durch Cadmium und seine Verbindungen,
341,Occupational_Healthcare,G33-Aromatische Nitro- oder Aminoverbindungen,
342,Occupational_Healthcare,G34-Gefährdung durch Fluor oder seine anorganischen Verbindungen,
343,Occupational_Healthcare,G35-Gefährdung durch Arbeitsaufenthalte im Ausland (bes. Klima- und gesundheitliche Belastungen),
344,Occupational_Healthcare,G36-Vinylchlorid,
345,Occupational_Healthcare,G37-Bildschirmarbeitsplätze,
346,Occupational_Healthcare,G38-Gefährdung durch Nickel und seine Verbindungen,
347,Occupational_Healthcare,G39-Gefährdung durch Schweißrauche,
348,Occupational_Healthcare,G40a-Acrylnitril,
349,Occupational_Healthcare,G40b-Benzo(a)pyren,
350,Occupational_Healthcare,G40c-Beryllium,
351,Occupational_Healthcare,"G40d-1,3-Butadien",
352,Occupational_Healthcare,"G40e-1-Chlor-2,3-Epoxypropan (Epichlorhydrin)",
353,Occupational_Healthcare,G40f-Cobalt und seine Verbindungen,
354,Occupational_Healthcare,G40g-Dimethylsulfat,
355,Occupational_Healthcare,G40h-Hydrazin,
356,Occupational_Healthcare,G40-Krebserzeugende Gefahrstoffe- allgemein,
357,Occupational_Healthcare,G41-Arbeiten mit Absturzgefahr,
358,Occupational_Healthcare,G42-Gefährdung durch Infektionserkrankungen,
359,Occupational_Healthcare,G43-Biotechnologie,
360,Occupational_Healthcare,G44-Gefährdung durch Eichen- und Buchenholzstaub,
361,Occupational_Healthcare,G45-Styrol,
